RCRB,Distance u-s1,Distance u-s2,Alpha min,Alpha mean,Alpha max
36.03876833527864,349.1244049495929,30.2813654022045,75.59707465649836,109.19530168474175,113.38832643626917
35.75329074845499,350.35266490992757,30.281262002993262,75.6646093944215,109.10456351516673,113.27327016749781
35.473101585288354,351.5818103021878,30.281770455450232,75.73139674485478,109.01462653029996,113.15931626531
35.19801360459078,352.8118644105232,30.281667054899142,75.79743075330255,108.92545689428887,113.04642432711888
34.92800948877971,354.0427457817142,30.282175509487907,75.86274046252996,108.83707030130405,112.93460655258436
34.662932791893645,355.27445186566723,30.28237802996184,75.92732293574934,108.74944013379289,112.82383052600105
34.40268358206761,356.5069813036381,30.282274614285623,75.99119047729869,108.66255585070991,112.71408076936152
34.14723028874109,357.74025273182025,30.282783059922608,76.0543668516414,108.57642818061814,112.6053641142457
33.8964051341215,358.9742917396188,30.282679626145345,76.11684415730232,108.49102377066419,112.49764160975138
33.650179654616174,360.20901808479596,30.282882116080387,76.17864603546377,108.40635384448201,112.39092129123172
33.40846141682911,361.44443043129206,30.283390537305632,76.23978358989255,108.32240809642539,112.28518767708482
33.1711145453568,362.68052916342435,30.283287063894875,76.30025251252299,108.23916052758364,112.18041028994938
32.938128820139525,363.9172342905235,30.28379546104596,76.36008115070936,108.15662817457074,112.07660252693196
32.70937307358053,365.1545463836411,30.283997897867067,76.41926424159978,108.07478506314193,111.97373400696578
32.48476510384623,366.39246576078307,30.283894370236922,76.47781223266351,107.99362140226143,111.87179046571774
32.26428171807436,367.63091362509573,30.28440271923761,76.53574823275032,107.91314948032435,111.7707814032379
32.04778127743469,368.86991733466004,30.28429914696945,76.59306186793538,107.83333594824879,111.6706681229557
31.835243069701924,370.1093990043134,30.284501500350142,76.64977603322414,107.75419347260662,111.5714608029604
31.62659064784871,371.3493598646373,30.28500978654573,76.70590057219414,107.67571278860913,111.47314585452038
31.42170924427127,372.5898021610413,30.28490613565636,76.76142856729052,107.59786817002642,111.37569359358136
31.220593885605464,373.83064772932346,30.285414371803018,76.81638835943671,107.52067805738989,111.27911971641336
31.023133560558087,375.0718992708275,30.285616618892416,76.87077244396508,107.44411676504944,111.18339440802272
30.829259904056656,376.31355956396243,30.285512875058465,76.92459020673377,107.36817557562567,111.08850548043814
30.638956334918326,377.5555509056638,30.28602102406571,76.97786376041364,107.29286776496747,110.99446334797896
30.452101899460104,378.7979036470971,30.28591721013742,77.03058076338223,107.21816038317503,110.90123094806236
30.268681874792865,380.04054103899625,30.28611932269069,77.08276351946994,107.14406715351471,110.80881977114227
30.088632506730555,381.28346669492606,30.286627369167867,77.13442098258737,107.07057981242842,110.71721801193908
29.911855955220595,382.5266842059566,30.2865234380647,77.1855438568706,106.99767261290809,110.62639608957043
29.73835106299653,383.7701180292338,30.287031408291536,77.23616071751447,106.92536574612583,110.53637217989838
29.568022999238682,385.0137718557425,30.287233363295766,77.28626206963355,106.85363341875794,110.44711713882876
29.400814504884302,386.25765056004997,30.28712930025199,77.33585583508894,106.78246781788923,110.35861965689648
29.23671397505231,387.50167856165683,30.287637144563323,77.38496437215876,106.71188349646313,110.27089241043555
29.07561717809535,388.7458878051054,30.28753298614358,77.4335729743182,106.6418475350952,110.18389861397375
28.917514055865023,389.9902027517292,30.28773475419097,77.48170400480154,106.57237459165333,110.09765118083217
28.762350952142786,391.2346292030212,30.28824245768085,77.52936486815857,106.503457424332,110.01213970401325
28.610043654095062,392.4791720725887,30.288138143306764,77.57654509516024,106.43507020755786,109.92733526998806
28.460593985344797,393.72375767467923,30.288645744784446,77.62327278816684,106.36723461621658,109.8432576976153
28.3139200754658,394.9683916060545,30.288847304630988,77.6695372600645,106.29992502386652,109.75987847047854
28.169973608402174,396.21307988327226,30.288742819824982,77.71534517310174,106.23313420165063,109.67718728781261
28.028746933107914,397.45774861444016,30.289250257377578,77.76071891835839,106.16687787343156,109.5951985068389
27.890149299411934,398.70243112293326,30.28914565115959,77.80564189715375,106.10112300841583,109.51387563335412
27.75418421521334,399.94705387091716,30.289652970265063,77.85014226129626,106.03589173163309,109.43323924576016
27.62077655666798,401.19162355373595,30.289854231097223,77.89420848685623,105.97115854848703,109.35326105046332
27.489882703612075,402.43614733588066,30.289749430687984,77.93784670561058,105.90691673089773,109.27393205088026
27.361497083209002,403.68055201600635,30.290256561175394,77.98107911280877,105.84318259486214,109.19526645533949
27.235548239871058,404.92484528990036,30.29045762385726,78.0238935050879,105.7799307701993,109.11723679657904
27.11199511997385,406.1690344917479,30.290352614979465,78.06629603096243,105.71715469026537,109.03983370405403
26.99083322358535,407.41304713476865,30.290859543379455,78.10830871934579,105.65487109355034,108.96307267587734
26.87198282876038,408.6569176239229,30.290754388176268,78.14991330727636,105.5930467200485,108.88691760021601
26.75544944722542,409.9005742469637,30.291261173195167,78.19113845945436,105.53170512116063,108.811390617694
26.64116723113801,411.14402474397815,30.29146187268527,78.2319707309435,105.47082063051504,108.73646382882558
26.529098969520437,412.38727771042136,30.291356485759444,78.27241599844395,105.4103872169838,108.66212878426298
26.41924181864394,413.6302612536644,30.291863044632453,78.31249641341898,105.35042218145726,108.58840152236333
26.31152184647959,414.8730107888264,30.291757494043487,78.35219269852604,105.29089221776921,108.51524620595995
26.205937072734283,416.1154550479421,30.29195787457077,78.39152697048742,105.23181488307475,108.4426792598978
26.10245242243169,417.3576031824876,30.29246419241103,78.4305050622769,105.17318451818984,108.37069256955289
26.00100819910212,418.5994636763092,30.292358386574513,78.46911220170118,105.11497535860835,108.29925852505146
25.90161162817345,419.8409661548434,30.292864537065412,78.50737753070554,105.05721215187185,108.22840067992134
25.80420438530686,421.08211968312645,30.29306457538927,78.54528643741372,104.99986921797432,108.15809106616436
25.708754528283812,422.3229339303375,30.29295850031132,78.58284418572919,104.94294106348019,108.08832251608682
25.61526150879783,423.5633382609572,30.293464386669946,78.62007281639394,104.88644589822371,108.01911206940356
25.52365929093834,424.80336907280116,30.293358124243706,78.65695176322882,104.83035020356591,107.95042383385415
25.433948033093955,426.04295626104977,30.293557792557596,78.6935032762592,104.77467241640561,107.88227526906063
25.34609755253356,427.28211030946215,30.29406340082806,78.72973250265161,104.71940753565296,107.81465937251332
25.260054605338045,428.5208405966209,30.293956845823754,78.76562348277508,104.66452956382884,107.74754846145724
