RCRB,Distance u-s1,Distance u-s2,Alpha min,Alpha mean,Alpha max
18.639087944437048,874.0018125708954,29.557018350098883,160.8378813817846,160.8378813817846,160.8378813817846
18.648556395086413,874.4943131149038,29.556900873692122,160.74275373345642,160.74275373345642,160.74275373345642
18.658127122705288,874.9886595931254,29.557395271778848,160.64781945130161,160.64781945130161,160.64781945130161
18.667799476150563,875.4848596324094,29.557277842934578,160.55305314765957,160.55305314765957,160.55305314765957
18.6775735696223,875.982881943938,29.557772292107675,160.45848120270458,160.45848120270458,160.45848120270458
18.687448740457324,876.482724752777,29.55796083235246,160.36408558188384,160.36408558188384,160.36408558188384
18.69742494379606,876.9843887191469,29.557843460535057,160.2698646437863,160.2698646437863,160.2698646437863
18.707502002746644,877.4878373873197,29.558337975011103,160.17583946311473,160.17583946311473,160.17583946311473
18.717679332523613,877.9930849690031,29.558220634869283,160.08198422287637,160.08198422287637,160.08198422287637
18.727956773924976,878.5000966955481,29.55840924257037,159.98832009923987,159.98832009923987,159.98832009923987
18.738334250057306,879.0088720108098,29.558903804920636,159.89484557785386,159.89484557785386,159.89484557785386
18.748811035458914,879.5194090675432,29.55878649920034,159.80154200834752,159.80154200834752,159.80154200834752
18.759387206766746,880.0316750088832,29.559281087609573,159.70843656791214,159.70843656791214,159.70843656791214
18.770062062250247,880.5456704694874,29.559469740964442,159.61551056305868,159.61551056305868,159.61551056305868
18.780835463503635,881.0613928664346,29.55935245504682,159.52276225872308,159.52276225872308,159.52276225872308
18.79170727750296,881.5788094608732,29.559847069888534,159.43021341245364,159.43021341245364,159.43021341245364
18.802676758464557,882.0979304872994,29.559729789141755,159.33783719991234,159.33783719991234,159.33783719991234
18.813743751673243,882.618722603277,29.559918458939215,159.2456554274355,159.2456554274355,159.2456554274355
18.824908116646576,883.1411836010817,29.560413086007358,159.15366652140912,159.15366652140912,159.15366652140912
18.836169097249133,883.6653150967123,29.560295801764347,159.06185120458187,159.06185120458187,159.06185120458187
18.847526733374117,884.1910820233608,29.560790428032465,158.97023742773928,158.97023742773928,158.97023742773928
18.858980194799525,884.7184829366253,29.56097909213615,158.87880574014267,158.87880574014267,158.87880574014267
18.870529385357454,885.2475198929836,29.56086179025548,158.78755450002788,158.78755450002788,158.78755450002788
18.88217406451903,885.7781546304526,29.561356405873276,158.69650592471655,158.69650592471655,158.69650592471655
18.893913444675494,886.310401120518,29.56123908437635,158.60563237256525,158.60563237256525,158.60563237256525
18.905747323815593,886.84422389955,29.56142771450811,158.51495619100083,158.51495619100083,158.51495619100083
18.917675547674072,887.3796220167891,29.56192230336878,158.42447581783932,158.42447581783932,158.42447581783932
18.929697227199316,887.9165953808368,29.561804941062082,158.33417123329727,158.33417123329727,158.33417123329727
18.941812433764326,888.4551097653194,29.562299504378885,158.24407122680427,158.24407122680427,158.24407122680427
18.954020235272115,888.9951638992023,29.562488078933647,158.15415565042454,158.15415565042454,158.15415565042454
18.966320460569463,889.5367577614887,29.5623706617785,158.06442279604295,158.06442279604295,158.06442279604295
18.97871293498243,890.0798568873214,29.562865175586975,157.97489556176913,157.97489556176913,157.97489556176913
18.99119667882674,890.6244712765365,29.562747714174254,157.88554530875018,157.88554530875018,157.88554530875018
19.00377151925314,891.1705670337437,29.562936203878692,157.79639501071077,157.79639501071077,157.79639501071077
19.01643728160127,891.7181441102549,29.563430654140653,157.7074431117582,157.7074431117582,157.7074431117582
19.029192931357233,892.2672007499584,29.563313113683957,157.6186688548849,157.6186688548849,157.6186688548849
19.04203857130306,892.8177024824957,29.563807513806022,157.53010183517947,157.53010183517947,157.53010183517947
19.054973166674525,893.3696489844104,29.56399589839305,157.44172123390985,157.44172123390985,157.44172123390985
19.06799650907934,893.9230403761775,29.563878265300566,157.35352533308614,157.35352533308614,157.35352533308614
19.081108410760145,894.4778404863173,29.564372578920594,157.26553757011558,157.26553757011558,157.26553757011558
19.09430779376915,895.0340619978394,29.56425487632389,157.17772848436417,157.17772848436417,157.17772848436417
19.1075947378327,895.591667093052,29.564749123862637,157.0901280880845,157.0901280880845,157.0901280880845
19.12096817769771,896.1506585165708,29.564937339471783,157.00271521229942,157.00271521229942,157.00271521229942
19.134427857132785,896.7110350167004,29.56481952065251,156.9154880953332,156.9154880953332,156.9154880953332
19.147973578784168,897.2727587056769,29.565313657642925,156.82847049077515,156.82847049077515,156.82847049077515
19.1616042057854,897.8358312008676,29.565501754502485,156.74164094396644,156.74164094396644,156.74164094396644
19.17531951844686,898.4002543044057,29.56538380556373,156.6549977689915,156.6549977689915,156.6549977689915
19.18911931833175,898.9659891386631,29.565877819325106,156.56856490913796,156.56856490913796,156.56856490913796
19.20300236658798,899.5330487519095,29.56575977741695,156.4823120332352,156.4823120332352,156.4823120332352
19.216968853352274,900.1013974452529,29.566253700023278,156.39627000941775,156.39627000941775,156.39627000941775
19.231017514111368,900.6710347925823,29.56644156461608,156.31041690303883,156.31041690303883,156.31041690303883
19.24514806400832,901.2419601695952,29.566323370365897,156.22475095696024,156.22475095696024,156.22475095696024
19.259360405363093,901.8141387543643,29.56681714628108,156.13929658101796,156.13929658101796,156.13929658101796
19.27365314365318,902.3875813243985,29.566698841764286,156.0540228374883,156.0540228374883,156.0540228374883
19.28802617243363,902.9622525733741,29.566886493356744,155.96895418325195,155.96895418325195,155.96895418325195
19.302479235625373,903.538152980551,29.567380108029518,155.88408904175967,155.88408904175967,155.88408904175967
19.31701092469011,904.115281630803,29.567261627088268,155.7994048854489,155.7994048854489,155.7994048854489
