RMSE,e RCRB,Bias
18.593208547565318,18.575657701969572,2.883781191515581
18.70995758558596,18.589053655318462,2.8838401453149456
21.221046691419758,21.06001495184295,2.71991386861441
21.046763269717577,21.077739990917024,2.6237261742779046
24.415062903407556,24.40147534192968,2.874770177147007
24.62344001674315,24.431672866712425,2.7550254985184366
27.11647881573828,27.145842050212664,3.4799294838601615
27.356823285815373,27.16006627827182,3.4123642893943744
28.541941231293354,28.353274004917903,4.419329218418774
28.477230166084023,28.365964123222696,3.99712833768534
28.518161997959318,27.793777283776834,4.7002371660281685
28.103108021879876,27.778142014557073,4.657596543108455
26.359657972745335,25.50699846207829,5.224626240171666
25.992498289316973,25.50093101265318,4.764536613156809
23.06927050399876,22.261587313346983,4.412835311253817
23.09260405199405,22.23865533780567,4.397434025015166
20.128473136925045,19.324293990670302,3.7856528096981275
19.80044885774443,19.309420736535124,3.8258255138172697
18.688864650755107,18.21070993783556,2.986383753892047
18.73999146618101,18.2125770581559,2.972809378747417
19.685719270920064,19.700081839887467,2.7892105374801286
19.944218036102125,19.717913881378532,2.743802765903298
23.0946939139798,22.816095826173964,2.3267722100685937
22.847109936467366,22.82590766662588,2.6248128376487028
26.10877904377442,26.025242277399272,3.223542381564399
26.249156912626958,26.04205962951668,3.060708790471235
28.439448224095,28.01091831947051,4.024778360374912
27.841963076211638,28.022544279130308,3.8135089068076407
28.654271900624234,28.350581640605967,4.3166437526348105
28.897434449903017,28.337778376102605,4.5353065074141
27.690955493101807,26.90117460836008,4.913548684589752
27.112563666478973,26.88408911179732,4.908954473875198
24.398677008096065,24.071575446616894,4.684779569676209
24.979675732621672,24.048305494661538,4.775946499764888
21.281971656669594,20.874326825768076,4.124526373889768
21.377253257053322,20.850916009301613,4.319383418823451
18.929575548003253,18.747600902654753,3.207026007335601
19.138798282643734,18.736617060487006,3.339495035948028
19.18243919854799,18.9017662692436,2.8815272016201243
19.27769780245523,18.91186290392141,2.8352042247139195
21.501283450633633,21.3505373147081,2.346375248125462
21.459270331574395,21.370256237050196,2.6157192727837693
