Time,Mean measurement error,Mean measurement and model error,Mean estimated distance u-s1,Distance u-s1,All u_x,All u_y,All u_z,All u_hat_x,All u_hat_y,All u_hat_z
46,582.5633196066516,582.5633196066516,1445.6505819655797,1711.186179038522,5552450.752457825,2978848.329738996,-2784375.086004634,5552544.572439842,2978913.8447461035,-2784114.380850809
47,583.6965408419555,583.6965408419555,1441.4252746574805,1711.3444284137663,5555628.024304227,2979324.6634028414,-2777481.871237931,5555723.231901698,2979390.71066732,-2777220.0772825736
48,582.3483110721621,582.3483110721621,1441.1876613453796,1711.5029332906608,5558798.520595667,2979797.363520406,-2770585.259635721,5558892.747570338,2979863.117856923,-2770321.9847115558
49,582.163354096346,582.163354096346,1435.357388297052,1711.6616932785073,5561962.237382329,2980266.42947081,-2763685.2595922346,5562058.0996289095,2980333.2616625708,-2763416.2939715423
50,561.6886586636988,561.6886586636988,1452.815706720543,1711.820708332159,5565119.170723456,2980731.8606377444,-2756781.8795042573,5565208.6682294365,2980794.617212862,-2756531.355193164
51,563.5030893775481,563.5030893775481,1455.054356669356,1711.979978064259,5568269.316685857,2981193.656409243,-2749875.127774378,5568358.573334295,2981256.558735127,-2749624.3296598885
52,565.1934767385425,565.1934767385425,1449.6812238106509,1712.13950595314,5571412.797676617,2981651.8345380877,-2742964.7347226497,5571502.4702475965,2981715.2819271893,-2742711.7944855657
53,560.5673140995267,560.5673140995267,1449.7431191070918,1712.2992799463136,5574549.35684324,2982106.357554546,-2736051.2647954137,5574637.981174287,2982169.3132848665,-2735798.4807887785
54,565.350764488609,565.350764488609,1440.3367319286128,1712.4593062230438,5577679.116881791,2982557.2433664734,-2729134.4484583153,5577771.928753111,2982622.6820473783,-2728871.574139096
55,558.4337039584419,558.4337039584419,1457.5945044431999,1712.6195839735865,5580802.073892368,2983004.4913797425,-2722214.2941305833,5580889.110031496,2983066.313869253,-2721966.9417035417
56,551.8320422924669,551.8320422924669,1446.9449316622079,1712.7801097261356,5583918.223984123,2983448.1010047896,-2715290.8102339804,5584008.205957078,2983512.2422299692,-2715033.3986708913
57,553.0391085281058,553.0391085281058,1454.5148797975994,1712.9408857230958,5587027.5632727025,2983888.0716562523,-2708364.005198459,5587115.545077429,2983951.0944136935,-2708112.7455801233
58,544.6988823814047,544.6988823814047,1456.7522019730948,1713.1019088802243,5590130.087883774,2984324.402753465,-2701433.8874543943,5590215.185486602,2984385.409657849,-2701187.4716723827
59,553.1063524730403,553.1063524730403,1460.5334895088495,1713.2631807020143,5593225.793949671,2984757.0937199905,-2694500.465439967,5593310.375267377,2984818.030107986,-2694255.444633588
60,547.3427548731544,547.3427548731544,1466.1552949679042,1713.4247054983737,5596314.801751035,2985186.161172893,-2687563.468441408,5596397.200026584,2985245.956149077,-2687323.978347088
61,541.9093873223353,541.9093873223353,1468.6046377790167,1713.586469512931,5599396.858885361,2985611.5700205127,-2680623.4630783135,5599477.7492627865,2985670.3559617195,-2680387.4662174494
62,533.7344767729809,533.7344767729809,1468.2663254261468,1713.7484786298862,5602472.085923764,2986033.3370352215,-2673680.1787793012,5602552.273931842,2986091.903188535,-2673445.137619653
63,538.4399436225183,538.4399436225183,1454.3742991020872,1713.9107316536006,5605540.4790326785,2986451.461658537,-2666733.6239974448,5605624.729449751,2986513.046526243,-2666485.4417874087
64,533.0832738559596,533.0832738559596,1472.8523532937065,1714.0732288958413,5608602.0343863545,2986865.9433363713,-2659783.807191106,5608680.66570443,2986923.397350562,-2659550.9126507402
65,534.7386676256899,534.7386676256899,1469.6650024376995,1714.2359691836261,5611656.748167812,2987276.781519157,-2652830.7368218256,5611736.31658423,2987335.252745431,-2652594.7475023144
66,531.9192879421539,531.9192879421539,1484.752274773357,1714.3989505490388,5614704.616568543,2987683.9756618096,-2645874.4213549686,5614779.236418715,2987738.9065808887,-2645651.6778087206
67,530.3944098313957,530.3944098313957,1463.0948868521427,1714.5621789172123,5617745.758000326,2988087.5413864474,-2638914.5891903057,5617826.438954121,2988147.459063422,-2638671.2375256056
68,514.9347985813623,514.9347985813623,1486.3235947141409,1714.7256415410732,5620779.9239701005,2988487.445684557,-2631951.808814718,5620852.555091237,2988541.2285386627,-2631732.999011527
69,533.1042685622537,533.1042685622537,1462.9432314809053,1714.8893439644373,5623807.233181926,2988883.704333825,-2624985.8087663986,5623887.469554932,2988943.397418901,-2624743.382108684
