RMSE,e RCRB,Bias
11.762174154196211,10.628214761465635,3.5414173040201535
11.871734672739306,10.664167122613538,3.4291102737808314
17.144318068204726,16.194843357712482,3.6754729998452444
17.103058305222678,16.237463102528757,3.321200748739679
21.666834305747596,20.736460705291556,3.793915198347278
21.52661833263659,20.757770325965925,3.8727647616212515
24.23608814733567,23.41573192782983,4.5870228990281205
24.254468565345096,23.4237144573011,4.790959702586092
24.715841646060298,23.714858827563827,5.669272774899278
24.79607325011141,23.705912081800584,5.7995265609128035
23.549991871990102,21.61998706383664,6.644422387772603
23.616868568431084,21.598982843333793,6.936651928630316
19.806296626613555,17.46450988905486,7.011636240253518
19.698912828367376,17.431971025032464,6.9635682092071525
14.550989214467414,12.01312070454571,5.894843630624412
14.571963654585531,11.970089853850663,6.055395035193829
8.833490375188703,6.964874627562338,3.9040217710463825
8.758694523116462,6.943275978144238,3.8972334355092664
9.605982342096398,8.167776937671878,3.598798015186618
9.49923236294186,8.203655013909296,3.30738462001051
14.861688435912876,13.712036740534025,3.601556415094873
14.826721885899786,13.749738845310922,3.447984533623129
19.700390072064536,18.823453135344664,3.596170987767917
19.90495219958606,18.852146925834678,3.7786443832837215
23.300414850023625,22.497311202712464,4.060311577764491
23.20552319239161,22.511443601808953,4.09179432942714
24.844511339621373,23.917694754713377,5.367059959181307
24.841182708425293,23.927314079322937,5.154179856656952
24.428767431457,22.943015499234544,6.5584084332403645
24.51812227562553,22.92675916045494,6.5100835201715785
21.931203275030853,19.725379028694437,7.1029163003480855
22.037261350972226,19.70105542184231,7.069627372811447
17.275126243966984,14.81425288943785,6.514279012325567
17.117709567026708,14.77930181071659,6.590438010994037
11.461942398521686,9.2567254354065,4.8372361076188
11.580376500388814,9.22133428578998,4.8176287700308045
8.064156217745474,6.516947720736793,3.2733138675714
8.169433338481946,6.524490122085931,3.504498885844693
11.926365007357468,10.791137767389289,3.4553184985161036
12.025183042723238,10.826547125766117,3.584135113261098
17.249120669091376,16.297642374545447,3.692747415456645
17.079955912340033,16.334873460846413,3.49662868102472
